county_fips,county_name,state_abbr,population,median_household_income,poverty_rate,unemployment_rate,no_vehicle_rate,internet_subscription_rate,svi_socioeconomic,svi_household_disability,svi_racial_ethnic_minority,svi_housing_transportation,svi_overall,diabetes_prevalence,obesity_prevalence,high_bp_prevalence,physical_inactivity,smoking_prevalence,heart_disease_prevalence,poor_mental_health,poor_physical_health,food_insecurity,transportation_barrier,housing_insecurity,lack_health_insurance,low_access_population_pct_2019,low_income_low_access_pct_2019,no_car_low_access_pct_2019,snap_low_access_pct_2019,grocery_stores_per_1000_2020,fast_food_per_1000_2020,places_data_missing,svi_data_missing,usda_data_missing
1001,"Autauga County, Alabama",AL,58761,68315.0,11.37,2.77,3.98,89.13,0.2367,0.3675,0.6354,0.2358,0.2663,11.4,39.5,38.2,26.0,14.5,5.6,18.0,12.8,17.0,8.9,13.2,9.1,33.90670013,13.020998,4.121261597,9.039445877,0.071244098,0.801496148,0,0,0
1003,"Baldwin County, Alabama",AL,233420,71039.0,10.21,3.44,2.26,89.13,0.3433,0.2883,0.489,0.4308,0.3487,10.4,35.0,37.0,23.7,13.3,5.5,16.8,11.9,14.2,7.5,11.0,8.8,25.12223816,7.936779499,2.26211834,5.506705284,0.126479045,0.750151575,0,0,0
1005,"Barbour County, Alabama",AL,24877,39712.0,24.16,5.75,11.73,68.22,0.9399,0.9399,0.8941,0.9959,0.9927,16.5,47.1,45.4,34.5,20.8,7.4,19.9,16.2,32.1,15.6,23.2,14.8,20.52067947,10.43317127,5.567523956,16.7810688,0.203342959,0.976046205,0,0,0
1007,"Bibb County, Alabama",AL,22251,50669.0,20.62,8.71,7.54,79.75,0.8893,0.4954,0.6185,0.8931,0.8451,13.9,43.7,42.4,31.9,19.9,7.0,19.9,15.6,24.3,12.2,17.2,13.0,1.593456984,0.445866227,3.91587925,8.956861496,0.180701122,0.316226959,0,0,0
1009,"Blount County, Alabama",AL,59077,57440.0,14.17,5.97,4.84,83.1,0.6866,0.7884,0.413,0.3532,0.6166,11.3,36.0,36.0,27.7,16.9,6.3,18.9,14.3,17.7,9.2,13.1,12.0,6.807623863,2.512206078,3.487118244,8.359874725,0.069109693,0.414658159,0,0,0
1011,"Bullock County, Alabama",AL,10328,36136.0,27.94,3.7,10.41,61.59,0.8654,0.5138,0.9809,0.9491,0.8985,21.3,51.0,52.4,42.7,24.9,8.8,21.3,18.5,44.0,21.8,31.2,18.2,68.53353119,32.33919144,8.91302681,18.71297646,0.1790471595,0.300721735,0,0,0
1013,"Butler County, Alabama",AL,18981,44429.0,21.11,6.81,5.03,78.61,0.8441,0.6106,0.8661,0.217,0.6872,15.2,40.7,44.8,35.1,19.0,6.7,20.2,15.1,28.6,14.1,21.2,11.8,11.97491264,6.9182868,3.859925508,11.28141308,0.153814599,1.076702237,0,0,0
1015,"Calhoun County, Alabama",AL,116162,54339.0,18.04,6.95,5.57,83.45,0.854,0.65,0.658,0.7114,0.8145,12.9,39.1,41.5,31.0,17.0,6.4,19.3,14.6,21.5,10.8,15.5,11.0,35.90670395,15.3980732,2.925840378,10.00321102,0.185072571,0.916549921,0,0,0
1017,"Chambers County, Alabama",AL,34612,48805.0,17.88,3.58,6.97,78.55,0.7171,0.5317,0.8396,0.9469,0.8295,14.5,41.6,42.8,32.5,18.2,6.5,20.0,14.8,26.1,12.9,19.5,12.1,19.71384621,8.102988243,4.363359451,8.791007996,0.152137533,0.973680198,0,0,0
1019,"Cherokee County, Alabama",AL,25069,46621.0,14.26,3.97,3.24,78.16,0.6077,0.6494,0.2628,0.1152,0.406,11.8,39.3,37.5,28.8,18.1,6.6,19.8,14.9,18.4,9.6,13.2,10.8,13.49030972,5.00865221,3.394492388,14.686409,0.1790471595,0.684566796,0,0,0
1021,"Chilton County, Alabama",AL,45140,62471.0,14.45,5.3,3.28,81.38,0.5924,0.6837,0.5425,0.2698,0.5336,12.0,39.8,39.0,30.0,17.1,6.3,19.3,14.7,19.4,9.8,14.2,12.1,10.18653679,4.369551659,3.7418859,14.9891901,0.090096176,0.608149171,0,0,0
1023,"Choctaw County, Alabama",AL,12669,43299.0,19.14,5.21,5.68,69.51,0.6901,0.798,0.8151,0.2539,0.6548,15.0,44.5,44.2,33.5,19.1,6.8,20.3,15.5,27.3,13.5,19.8,11.8,24.33224678,13.04427528,8.083898544,21.72445488,0.322113067,0.644226134,0,0,0
1025,"Clarke County, Alabama",AL,23058,47549.0,22.36,12.46,10.61,71.02,0.8412,0.7264,0.8641,0.6462,0.8365,14.9,44.2,43.5,32.5,18.3,6.5,19.7,14.9,27.4,13.3,20.3,11.6,39.42882919,18.3503437,8.634003639,15.53016758,0.257610232,1.159246087,0,0,0
1027,"Clay County, Alabama",AL,14209,48074.0,17.57,5.75,6.36,75.1,0.7235,0.3688,0.5269,0.5851,0.6223,12.9,42.4,40.6,30.5,18.7,6.8,20.0,15.3,21.6,11.0,15.4,11.7,7.023150921,2.97461772,2.359975576,11.22818089,0.1790471595,0.381330073,0,0,0
